data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-13,83,083012,Messina,Casalvecchio Siculo,71.41,67.78
2021-10-13,83,083013,Messina,Castel di Lucio,86.58,82.44
2021-10-13,83,083014,Messina,Castell'Umberto,71.07,65.25
2021-10-13,83,083015,Messina,Castelmola,62.30,57.72
2021-10-13,83,083016,Messina,Castroreale,76.20,70.67
2021-10-13,83,083017,Messina,Cesarò,78.96,74.36
2021-10-13,83,083018,Messina,Condrò,69.02,64.63
2021-10-13,83,083019,Messina,Falcone,78.21,72.52
2021-10-13,83,083020,Messina,Ficarra,83.96,81.33
2021-10-13,83,083021,Messina,Fiumedinisi,48.10,44.55
2021-10-13,83,083022,Messina,Floresta,69.45,65.39
2021-10-13,83,083023,Messina,Fondachelli-Fantina,74.44,69.65
2021-10-13,83,083024,Messina,Forza d'Agrò,73.26,66.84
2021-10-13,83,083025,Messina,Francavilla di Sicilia,74.15,69.73
2021-10-13,83,083026,Messina,Frazzanò,83.85,81.67
2021-10-13,83,083027,Messina,Furci Siculo,70.43,65.48
2021-10-13,83,083028,Messina,Furnari,66.41,61.96
2021-10-13,83,083029,Messina,Gaggi,62.82,57.37
2021-10-13,83,083030,Messina,Galati Mamertino,81.53,76.22
2021-10-13,83,083031,Messina,Gallodoro,73.67,69.91
2021-10-13,83,083032,Messina,Giardini-Naxos,65.93,61.17
2021-10-13,83,083033,Messina,Gioiosa Marea,71.79,67.53
2021-10-13,83,083034,Messina,Graniti,72.76,66.26
2021-10-13,83,083035,Messina,Gualtieri Sicaminò,69.75,64.99
2021-10-13,83,083036,Messina,Itala,57.08,54.60
2021-10-13,83,083037,Messina,Leni,67.10,61.61
2021-10-13,83,083038,Messina,Letojanni,75.93,71.04
2021-10-13,83,083039,Messina,Librizzi,77.04,71.13
2021-10-13,83,083040,Messina,Limina,84.73,82.53
2021-10-13,83,083041,Messina,Lipari,68.17,62.39
2021-10-13,83,083042,Messina,Longi,82.52,78.67
2021-10-13,83,083043,Messina,Malfa,72.43,67.28
2021-10-13,83,083044,Messina,Malvagna,81.61,79.64
2021-10-13,83,083045,Messina,Mandanici,72.99,70.25
2021-10-13,83,083046,Messina,Mazzarrà Sant'Andrea,72.65,68.73
2021-10-13,83,083047,Messina,Merì,70.81,65.33
2021-10-13,83,083048,Messina,Messina,70.57,66.19
2021-10-13,83,083049,Messina,Milazzo,74.96,70.45
2021-10-13,83,083050,Messina,Militello Rosmarino,79.66,73.86
2021-10-13,83,083051,Messina,Mirto,85.83,82.62
2021-10-13,83,083052,Messina,Mistretta,87.87,85.40
2021-10-13,83,083053,Messina,Moio Alcantara,82.19,78.54
2021-10-13,83,083054,Messina,Monforte San Giorgio,70.90,67.23
2021-10-13,83,083055,Messina,Mongiuffi Melia,77.00,75.05
2021-10-13,83,083056,Messina,Montagnareale,72.58,68.50
2021-10-13,83,083057,Messina,Montalbano Elicona,74.78,70.44
2021-10-13,83,083058,Messina,Motta Camastra,76.18,72.01
2021-10-13,83,083059,Messina,Motta d'Affermo,85.47,82.15
2021-10-13,83,083060,Messina,Naso,77.99,73.65
2021-10-13,83,083061,Messina,Nizza di Sicilia,66.80,61.79
2021-10-13,83,083062,Messina,Novara di Sicilia,71.96,67.59
2021-10-13,83,083063,Messina,Oliveri,73.89,68.75
2021-10-13,83,083064,Messina,Pace del Mela,67.58,63.12
2021-10-13,83,083065,Messina,Pagliara,67.92,62.48
2021-10-13,83,083066,Messina,Patti,76.08,71.48
2021-10-13,83,083067,Messina,Pettineo,79.24,75.71
2021-10-13,83,083068,Messina,Piraino,82.36,79.79
2021-10-13,83,083069,Messina,Raccuja,85.39,82.57
2021-10-13,83,083070,Messina,Reitano,82.52,78.72
2021-10-13,83,083071,Messina,Roccafiorita,110.47,109.30
2021-10-13,83,083072,Messina,Roccalumera,70.97,66.93
2021-10-13,83,083073,Messina,Roccavaldina,74.33,70.25
2021-10-13,83,083074,Messina,Roccella Valdemone,82.62,78.93
2021-10-13,83,083075,Messina,Rodì Milici,76.16,73.18
2021-10-13,83,083076,Messina,Rometta,67.89,63.94
2021-10-13,83,083077,Messina,San Filippo del Mela,67.02,62.61
2021-10-13,83,083078,Messina,San Fratello,77.84,73.04
2021-10-13,83,083079,Messina,San Marco d'Alunzio,92.01,89.13
2021-10-13,83,083080,Messina,San Pier Niceto,87.36,78.17
2021-10-13,83,083081,Messina,San Piero Patti,79.04,74.53
2021-10-13,83,083082,Messina,San Salvatore di Fitalia,84.49,81.72
2021-10-13,83,083090,Messina,San Teodoro,73.97,70.10
2021-10-13,83,083084,Messina,Sant'Agata di Militello,80.06,75.69
2021-10-13,83,083085,Messina,Sant'Alessio Siculo,66.57,62.44
2021-10-13,83,083088,Messina,Sant'Angelo di Brolo,78.16,74.53
2021-10-13,83,083083,Messina,Santa Domenica Vittoria,84.85,80.79
2021-10-13,83,083086,Messina,Santa Lucia del Mela,70.76,66.31
2021-10-13,83,083087,Messina,Santa Marina Salina,71.14,67.18
2021-10-13,83,083089,Messina,Santa Teresa di Riva,67.10,62.12
2021-10-13,83,083091,Messina,Santo Stefano di Camastra,76.41,72.21
2021-10-13,83,083092,Messina,Saponara,72.74,68.09
2021-10-13,83,083093,Messina,Savoca,64.02,58.47
2021-10-13,83,083094,Messina,Scaletta Zanclea,61.20,57.36
2021-10-13,83,083095,Messina,Sinagra,78.06,73.16
2021-10-13,83,083096,Messina,Spadafora,70.61,66.46
2021-10-13,83,083097,Messina,Taormina,69.02,64.45
2021-10-13,83,083106,Messina,Terme Vigliatore,76.18,71.97
2021-10-13,83,083098,Messina,Torregrotta,76.44,70.07
2021-10-13,83,083108,Messina,Torrenova,78.81,74.10
2021-10-13,83,083099,Messina,Tortorici,,
2021-10-13,83,083100,Messina,Tripi,,
2021-10-13,83,083101,Messina,Tusa,,
2021-10-13,83,083102,Messina,Ucria,,
2021-10-13,83,083103,Messina,Valdina,,
2021-10-13,83,083104,Messina,Venetico,,
2021-10-13,83,083105,Messina,Villafranca Tirrena,,
2021-10-13,82,082001,Palermo,Alia,86.30,81.59
2021-10-13,82,082002,Palermo,Alimena,77.02,72.86
2021-10-13,82,082003,Palermo,Aliminusa,82.07,79.43
2021-10-13,82,082004,Palermo,Altavilla Milicia,77.29,73.61
2021-10-13,82,082005,Palermo,Altofonte,75.36,71.14
2021-10-13,82,082006,Palermo,Bagheria,79.22,74.62
2021-10-13,82,082007,Palermo,Balestrate,81.83,76.17
2021-10-13,82,082008,Palermo,Baucina,82.59,78.16
2021-10-13,82,082009,Palermo,Belmonte Mezzagno,82.75,78.32
2021-10-13,82,082010,Palermo,Bisacquino,84.77,81.22
2021-10-13,82,082082,Palermo,Blufi,74.56,70.57
2021-10-13,82,082011,Palermo,Bolognetta,75.00,72.07
2021-10-13,82,082012,Palermo,Bompietro,80.49,75.44
2021-10-13,82,082013,Palermo,Borgetto,71.91,68.32
2021-10-13,82,082014,Palermo,Caccamo,80.66,76.22
2021-10-13,82,082015,Palermo,Caltavuturo,84.15,81.72
2021-10-13,82,082016,Palermo,Campofelice di Fitalia,86.67,83.33
2021-10-13,82,082017,Palermo,Campofelice di Roccella,82.65,79.52
2021-10-13,82,082018,Palermo,Campofiorito,85.53,82.95
2021-10-13,82,082019,Palermo,Camporeale,82.41,78.49
2021-10-13,82,082020,Palermo,Capaci,77.23,73.16
2021-10-13,82,082021,Palermo,Carini,76.16,70.81
2021-10-13,82,082022,Palermo,Castelbuono,86.91,84.29
2021-10-13,82,082023,Palermo,Casteldaccia,80.61,76.46
2021-10-13,82,082024,Palermo,Castellana Sicula,86.27,83.02
2021-10-13,82,082025,Palermo,Castronovo di Sicilia,82.13,78.48
2021-10-13,82,082026,Palermo,Cefalà Diana,88.77,86.03
2021-10-13,82,082027,Palermo,Cefalù,87.21,84.14
2021-10-13,82,082028,Palermo,Cerda,79.73,76.09
2021-10-13,82,082029,Palermo,Chiusa Sclafani,80.70,77.13
2021-10-13,82,082030,Palermo,Ciminna,80.14,75.78
2021-10-13,82,082031,Palermo,Cinisi,79.95,75.59
2021-10-13,82,082032,Palermo,Collesano,86.09,82.82
2021-10-13,82,082033,Palermo,Contessa Entellina,88.52,84.76
2021-10-13,82,082034,Palermo,Corleone,80.52,76.38
2021-10-13,82,082035,Palermo,Ficarazzi,76.28,71.82
2021-10-13,82,082036,Palermo,Gangi,87.59,84.73
2021-10-13,82,082037,Palermo,Geraci Siculo,85.35,82.64
2021-10-13,82,082038,Palermo,Giardinello,82.28,78.46
2021-10-13,82,082039,Palermo,Giuliana,90.92,89.20
2021-10-13,82,082040,Palermo,Godrano,85.05,82.02
2021-10-13,82,082041,Palermo,Gratteri,83.48,80.05
2021-10-13,82,082042,Palermo,Isnello,92.95,90.09
2021-10-13,82,082043,Palermo,Isola delle Femmine,77.45,72.66
2021-10-13,82,082044,Palermo,Lascari,82.80,79.67
2021-10-13,82,082045,Palermo,Lercara Friddi,85.61,81.38
2021-10-13,82,082046,Palermo,Marineo,80.97,77.01
2021-10-13,82,082047,Palermo,Mezzojuso,81.76,77.67
2021-10-13,82,082048,Palermo,Misilmeri,79.92,75.75
2021-10-13,82,082049,Palermo,Monreale,78.91,74.76
2021-10-13,82,082050,Palermo,Montelepre,81.64,78.03
2021-10-13,82,082051,Palermo,Montemaggiore Belsito,83.52,79.55
2021-10-13,82,082052,Palermo,Palazzo Adriano,103.75,98.64
2021-10-13,82,082053,Palermo,Palermo,87.33,83.07
2021-10-13,82,082054,Palermo,Partinico,78.94,74.68
2021-10-13,82,082055,Palermo,Petralia Soprana,76.64,74.08
2021-10-13,82,082056,Palermo,Petralia Sottana,81.49,79.20
2021-10-13,82,082057,Palermo,Piana degli Albanesi,80.45,77.50
2021-10-13,82,082058,Palermo,Polizzi Generosa,79.76,77.08
2021-10-13,82,082059,Palermo,Pollina,85.69,83.07
2021-10-13,82,082060,Palermo,Prizzi,87.08,84.33
2021-10-13,82,082061,Palermo,Roccamena,84.83,80.46
2021-10-13,82,082062,Palermo,Roccapalumba,85.76,82.01
2021-10-13,82,082063,Palermo,San Cipirello,73.66,69.55
2021-10-13,82,082064,Palermo,San Giuseppe Jato,77.41,73.17
2021-10-13,82,082065,Palermo,San Mauro Castelverde,73.28,69.28
2021-10-13,82,082066,Palermo,Santa Cristina Gela,84.17,79.73
2021-10-13,82,082067,Palermo,Santa Flavia,74.19,69.50
2021-10-13,82,082068,Palermo,Sciara,79.46,75.08
2021-10-13,82,082081,Palermo,Scillato,87.54,83.33
2021-10-13,82,082069,Palermo,Sclafani Bagni,87.16,85.25
